job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,98,0.25590392451211663,EARLY
J0002,106,0.2921381085138323,EARLY
J0003,121,0.3125198370147973,EARLY
J0004,134,0.3125198370147974,EARLY
J0005,175,0.26722710701265284,EARLY
J0006,178,0.26722710701265284,EARLY
J0007,215,0.3034612910143685,EARLY
J0008,219,0.3125198370147973,EARLY
J0009,260,0.49142612052326834,MID
J0010,260,0.49142612052326834,MID
J0011,270,0.5140724855243406,MID
J0012,288,0.5797469440274501,MID
J0013,295,0.5955993995282007,MID
J0014,310,0.659009221531203,MID
J0015,314,0.6703324040317393,MID
J0016,333,0.7971520480377441,MID
J0017,338,0.8401801415397814,MID
J0018,356,0.999,MID
J0019,356,0.999,MID
J0020,360,0.999,MID
J0021,365,0.999,MID
J0022,373,0.999,MID
J0023,377,0.999,MID
J0024,382,0.999,MID
J0025,394,0.999,MID
J0026,400,0.999,MID
J0027,403,0.999,MID
J0028,408,0.9898241475444992,MID
J0029,431,0.8765923225391381,MID
J0030,436,0.8720630495389237,MID
J0031,448,0.8833862320394597,MID
J0032,450,0.8856508685395669,MID
J0033,455,0.8765923225391381,MID
J0034,459,0.85847523053828,MID
J0035,473,0.8471520480377441,MID
J0036,491,0.8471520480377441,LATE
J0037,497,0.8358288655372078,LATE
J0038,507,0.795065408535278,LATE
J0039,509,0.7837422260347415,LATE
J0040,524,0.7293909500321681,LATE
J0041,526,0.7248616770319538,LATE
J0042,526,0.7248616770319538,LATE
J0043,565,0.5119858460218744,LATE
J0044,577,0.5255736650225178,LATE
J0045,583,0.5119858460218745,LATE
J0046,604,0.49613339052112376,LATE
J0047,606,0.4870748445206948,LATE
J0048,618,0.3783722925155479,LATE
