job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,53,0.3078015125381452,EARLY
J0002,61,0.37435319092477104,EARLY
J0003,81,0.42981292291362616,EARLY
J0004,89,0.40762903011808416,EARLY
J0005,110,0.2329308743531909,EARLY
J0006,199,0.12201141037548095,EARLY
J0007,222,0.23847684755207643,EARLY
J0008,252,0.5130025208969086,MID
J0009,263,0.6766087302640308,MID
J0010,291,0.999,MID
J0011,295,0.999,MID
J0012,295,0.999,MID
J0013,296,0.999,MID
J0014,300,0.999,MID
J0015,302,0.9816372562027332,MID
J0016,306,0.9039936314183363,MID
J0017,459,0.21074698155764893,MID
J0018,491,0.6128300384768476,LATE
J0019,500,0.6877006766618018,LATE
J0020,504,0.6987926230595728,LATE
J0021,505,0.6960196364601301,LATE
J0022,525,0.5989651054796338,LATE
J0023,528,0.5740082260846491,LATE
J0024,566,0.11369245057715266,LATE
