job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,98,0.39461649026525547,EARLY
J0002,115,0.6925388736443225,EARLY
J0003,129,0.9199006925388737,EARLY
J0004,131,0.9460342349405463,EARLY
J0005,133,0.9643277146217171,EARLY
J0006,136,0.985234548543055,EARLY
J0007,153,1.0296615706258985,EARLY
J0008,161,1.016594799425062,EARLY
J0009,164,1.0009146739840586,EARLY
J0010,171,0.9460342349405463,EARLY
J0011,186,0.8179798771723508,EARLY
J0012,192,0.7657127923690056,EARLY
J0013,194,0.7500326669280021,EARLY
J0014,224,0.5775512870769633,EARLY
J0015,233,0.5958447667581341,EARLY
J0016,244,0.6716320397229845,MID
J0017,253,0.7291258330066641,MID
J0018,278,0.9591010061413826,MID
J0019,278,0.9591010061413826,MID
J0020,288,0.9956879655037241,MID
J0021,293,0.9983013197438915,MID
J0022,293,0.9983013197438915,MID
J0023,297,0.9773944858225533,MID
J0024,308,0.8754736704560305,MID
J0025,324,0.7918463347706782,MID
J0026,338,0.6820854566836535,MID
J0027,352,0.6167516006794722,MID
J0028,367,0.66640533124265,MID
J0029,368,0.6690186854828173,MID
J0030,379,0.6873121651639881,MID
J0031,399,0.7421926042075004,MID
J0032,413,0.8545668365346922,MID
J0033,420,0.8911537958970339,MID
J0034,422,0.8911537958970339,MID
J0035,432,0.8624068992551941,MID
J0036,445,0.8101398144518489,MID
J0037,448,0.7944596890108454,MID
J0038,459,0.729125833006664,MID
J0039,459,0.729125833006664,MID
J0040,505,0.6298183718803085,LATE
J0041,509,0.6428851430811446,LATE
J0042,510,0.6428851430811446,LATE
J0043,525,0.6219783091598067,LATE
J0044,528,0.6141382464393049,LATE
J0045,543,0.5305109107539526,LATE
J0046,575,0.31098915457990334,LATE
J0047,590,0.25088200705605646,LATE
J0048,612,0.15941460865020254,LATE
