job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,179.0,50.0,0.0,0.0
J0002,220.0,60.0,0.0,0.0
J0003,286.0,67.0,0.0,0.0
J0004,296.0,65.0,3.0,0.0
J0005,319.0,83.0,22.0,0.0
J0006,346.0,103.0,54.0,0.0
J0007,388.0,96.0,30.0,0.0
J0008,424.0,129.0,63.0,0.0
J0009,459.0,153.0,93.0,0.0
J0010,419.0,103.0,40.0,0.0
J0011,467.0,123.0,75.0,0.0
J0012,496.0,68.0,3.0,0.0
J0013,501.0,69.0,11.0,0.0
J0014,559.0,109.0,46.0,0.0
J0015,599.0,143.0,77.0,0.0
J0016,635.0,158.0,94.0,0.0
J0017,675.0,167.0,102.0,0.0
J0018,712.0,177.0,115.0,0.0
